material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T08:03:07,2023-12-31T00:00:00
Metallförpackningar,3,2023-12-27T12:32:46,
Pappersförpackningar,5,2023-12-30T08:51:16,2023-12-31T00:00:00
Tidningar,13,2023-10-26T10:39:07,
Plastförpackningar,16,2023-12-30T14:33:01,2023-12-31T00:00:00
Ofärgade glasförpackningar,18,2023-09-14T06:27:13,
Färgade glasförpackningar,19,2023-09-14T06:27:13,
