material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T07:09:22,
Metallförpackningar,3,2023-12-14T13:30:49,
Pappersförpackningar,5,2023-12-31T06:46:36,
Tidningar,13,2023-02-25T09:39:10,
Plastförpackningar,16,2023-12-28T08:45:47,
Ofärgade glasförpackningar,18,2023-12-21T11:00:41,
Färgade glasförpackningar,19,2023-12-21T11:00:41,
