material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-31T08:46:58,
Metallförpackningar,3,2023-12-29T12:26:29,
Pappersförpackningar,5,2023-12-31T10:53:45,
Tidningar,13,2023-12-28T11:55:40,
Plastförpackningar,16,2023-12-31T13:25:55,
Ofärgade glasförpackningar,18,2023-12-31T12:21:43,
Färgade glasförpackningar,19,2023-12-31T12:21:43,
