material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-28T11:44:53,2023-12-29T00:00:00
Metallförpackningar,3,2023-11-07T11:58:48,
Pappersförpackningar,5,2023-12-25T19:57:27,2023-12-29T00:00:00
Tidningar,13,2023-10-12T15:33:38,
Plastförpackningar,16,2023-12-21T19:36:39,
Ofärgade glasförpackningar,18,,
Färgade glasförpackningar,19,,
