material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-27T12:09:44,
Metallförpackningar,3,2023-12-18T07:42:07,
Pappersförpackningar,5,2023-12-18T07:42:07,2024-07-01T00:00:00
Tidningar,13,2023-12-18T07:42:07,
Plastförpackningar,16,2023-12-18T07:42:07,2024-07-01T00:00:00
Ofärgade glasförpackningar,18,2023-11-20T08:12:21,
Färgade glasförpackningar,19,2023-08-28T07:02:33,
