material,materialid,senaktivitet,nastaaktivitet
Städning,0,,
Metallförpackningar,3,2023-09-12T18:47:19,
Pappersförpackningar,5,2023-12-27T14:41:53,
Tidningar,13,,
Plastförpackningar,16,2023-12-27T14:41:53,
Ofärgade glasförpackningar,18,2023-11-09T08:15:59,
Färgade glasförpackningar,19,2023-11-09T08:15:59,
