material,materialid,senaktivitet,nastaaktivitet
Städning,0,,
Metallförpackningar,3,2023-12-06T08:34:20,
Pappersförpackningar,5,2023-12-29T12:11:35,2024-05-28T00:00:00
Tidningar,13,2022-11-29T08:55:52,
Plastförpackningar,16,2023-12-28T11:08:34,
Ofärgade glasförpackningar,18,2023-12-15T12:47:17,
Färgade glasförpackningar,19,2023-12-15T12:47:17,
