material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-30T16:23:22,
Metallförpackningar,3,2023-12-12T09:51:04,
Pappersförpackningar,5,2023-12-29T09:02:21,
Tidningar,13,2023-07-11T11:42:07,
Plastförpackningar,16,2023-12-26T17:26:04,
Ofärgade glasförpackningar,18,2023-11-30T13:32:35,
Färgade glasförpackningar,19,2023-11-30T13:32:35,
