material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-31T06:06:17,
Metallförpackningar,3,2023-12-26T15:30:22,
Pappersförpackningar,5,2023-12-31T09:36:51,2024-05-19T00:00:00
Tidningar,13,,
Plastförpackningar,16,2023-12-30T11:50:38,2024-05-19T00:00:00
Ofärgade glasförpackningar,18,2023-12-05T13:54:51,
Färgade glasförpackningar,19,2023-12-05T13:54:51,
