material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-31T11:37:55,
Metallförpackningar,3,2023-12-21T14:37:11,
Pappersförpackningar,5,2023-12-31T09:27:46,
Tidningar,13,,
Plastförpackningar,16,2023-12-29T08:36:28,
Ofärgade glasförpackningar,18,2023-12-27T19:58:40,
Färgade glasförpackningar,19,2023-12-27T19:58:40,
