material,materialid,senaktivitet,nastaaktivitet
Städning,0,2024-01-08T12:18:20,
Metallförpackningar,3,2023-11-30T19:35:30,
Pappersförpackningar,5,2023-12-30T18:53:57,
Tidningar,13,,
Plastförpackningar,16,2023-12-28T10:43:51,
Ofärgade glasförpackningar,18,2023-12-04T16:01:54,
Färgade glasförpackningar,19,2023-12-04T16:01:54,
