material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T12:28:38,
Metallförpackningar,3,2023-12-04T14:43:17,
Pappersförpackningar,5,2023-12-30T10:27:00,
Tidningar,13,2023-05-24T13:59:12,
Plastförpackningar,16,2023-12-26T10:49:42,
Ofärgade glasförpackningar,18,2023-11-23T09:33:04,
Färgade glasförpackningar,19,2023-11-23T09:33:04,
