material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-30T10:25:11,
Metallförpackningar,3,2023-12-27T19:10:02,
Pappersförpackningar,5,2023-12-31T16:15:53,
Tidningar,13,2023-11-20T08:17:45,
Plastförpackningar,16,2023-12-31T17:13:08,
Ofärgade glasförpackningar,18,2023-12-29T11:27:26,
Färgade glasförpackningar,19,2023-12-29T11:27:26,
