material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-22T12:13:41,2023-12-26T00:00:00
Metallförpackningar,3,2023-12-20T15:06:58,
Pappersförpackningar,5,2023-12-23T08:37:18,2023-12-25T00:00:00
Tidningar,13,2023-07-31T08:40:55,
Plastförpackningar,16,2023-12-18T08:19:03,2023-12-25T00:00:00
Ofärgade glasförpackningar,18,2023-12-13T09:35:27,
Färgade glasförpackningar,19,2023-12-13T09:35:27,
