material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T08:18:46,
Metallförpackningar,3,2023-11-29T12:49:28,
Pappersförpackningar,5,2023-12-31T09:55:39,2024-06-05T00:00:00
Tidningar,13,2023-10-11T14:10:58,
Plastförpackningar,16,2023-12-31T07:40:54,2024-06-07T00:00:00
Ofärgade glasförpackningar,18,2023-12-22T11:49:33,
Färgade glasförpackningar,19,2023-12-22T11:49:33,
