material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-28T10:09:19,
Metallförpackningar,3,2023-12-21T07:22:04,
Pappersförpackningar,5,2023-12-31T08:34:34,
Tidningar,13,,
Plastförpackningar,16,2023-12-31T08:47:14,
Ofärgade glasförpackningar,18,2023-11-29T16:12:51,
Färgade glasförpackningar,19,2023-11-29T16:12:51,
