material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T11:20:54,
Metallförpackningar,3,2023-12-20T08:56:40,
Pappersförpackningar,5,2023-12-31T15:33:25,2024-06-02T00:00:00
Tidningar,13,2023-10-24T09:42:14,
Plastförpackningar,16,2023-12-31T08:25:33,
Ofärgade glasförpackningar,18,2023-12-26T16:10:05,
Färgade glasförpackningar,19,2023-12-26T16:10:05,
