material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-26T13:31:06,
Metallförpackningar,3,2023-11-30T20:00:14,
Pappersförpackningar,5,2023-12-25T07:38:48,2023-12-28T00:00:00
Tidningar,13,,
Plastförpackningar,16,2023-12-25T07:38:48,2023-12-28T00:00:00
Ofärgade glasförpackningar,18,2023-12-20T08:13:04,
Färgade glasförpackningar,19,2023-12-20T08:13:04,
