material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T10:12:30,2023-12-30T00:00:00
Metallförpackningar,3,2023-12-05T13:12:57,
Pappersförpackningar,5,2023-12-29T11:03:38,2023-12-30T00:00:00
Tidningar,13,2023-07-26T08:22:54,
Plastförpackningar,16,2023-12-25T21:37:48,
Ofärgade glasförpackningar,18,2023-12-19T08:34:49,
Färgade glasförpackningar,19,2023-12-19T08:34:49,
