material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-01-12T14:04:12,2023-01-19T00:00:00
Metallförpackningar,3,2023-01-11T09:32:27,2023-03-08T00:00:00
Pappersförpackningar,5,2023-01-16T07:27:27,2023-01-18T00:00:00
Tidningar,13,2022-08-02T12:30:07,
Plastförpackningar,16,2023-01-13T07:56:34,2023-01-17T00:00:00
Ofärgade glasförpackningar,18,2023-01-11T12:40:33,
Färgade glasförpackningar,19,2023-01-11T12:40:33,
