material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T06:31:50,
Metallförpackningar,3,2023-12-28T12:01:30,
Pappersförpackningar,5,2023-12-31T11:38:54,
Tidningar,13,2023-12-18T18:18:53,
Plastförpackningar,16,2023-12-26T12:20:56,
Ofärgade glasförpackningar,18,2023-12-16T07:53:35,
Färgade glasförpackningar,19,2023-12-16T07:53:35,
