material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-30T10:52:28,
Metallförpackningar,3,2023-12-28T18:27:18,
Pappersförpackningar,5,2023-12-31T15:14:57,2024-05-26T00:00:00
Tidningar,13,2023-12-25T11:06:05,
Plastförpackningar,16,2023-12-31T15:30:23,
Ofärgade glasförpackningar,18,2023-12-29T10:32:05,
Färgade glasförpackningar,19,2023-12-29T10:32:05,
