material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-27T08:25:36,
Metallförpackningar,3,2023-12-08T09:16:47,
Pappersförpackningar,5,2023-12-29T07:46:20,
Tidningar,13,,
Plastförpackningar,16,2023-12-27T13:24:38,
Ofärgade glasförpackningar,18,2023-12-27T15:16:12,
Färgade glasförpackningar,19,2023-12-27T15:16:12,
