material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-02-20T16:01:18,2023-02-21T00:00:00
Metallförpackningar,3,2023-01-27T13:02:16,2023-03-08T00:00:00
Pappersförpackningar,5,2023-02-20T07:04:54,2023-02-24T00:00:00
Tidningar,13,2023-02-14T13:04:44,
Plastförpackningar,16,2023-02-20T14:08:11,2023-02-24T00:00:00
Ofärgade glasförpackningar,18,2023-02-13T11:26:50,
Färgade glasförpackningar,19,2023-02-13T11:26:50,
