material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-26T11:54:48,
Metallförpackningar,3,2023-12-19T13:00:52,
Pappersförpackningar,5,2023-12-27T11:07:19,2023-12-29T00:00:00
Tidningar,13,2023-12-19T13:00:52,
Plastförpackningar,16,2023-12-27T11:07:19,2023-12-29T00:00:00
Ofärgade glasförpackningar,18,2023-12-21T12:03:09,
Färgade glasförpackningar,19,2023-12-21T12:03:09,
