material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-31T08:44:02,
Metallförpackningar,3,2023-12-27T14:10:34,
Pappersförpackningar,5,2023-12-31T15:34:53,
Tidningar,13,2023-12-28T07:50:09,
Plastförpackningar,16,2023-12-28T09:32:15,2024-06-17T00:00:00
Ofärgade glasförpackningar,18,2023-12-27T16:37:32,
Färgade glasförpackningar,19,2023-12-27T16:37:32,
