material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-28T10:14:39,
Metallförpackningar,3,2023-12-19T13:53:33,
Pappersförpackningar,5,2023-12-31T10:08:20,2024-05-20T00:00:00
Tidningar,13,,
Plastförpackningar,16,2023-12-29T09:36:43,
Ofärgade glasförpackningar,18,2023-12-23T16:04:47,
Färgade glasförpackningar,19,2023-12-23T16:04:47,
