material,materialid,senaktivitet,nastaaktivitet
Städning,0,,
Metallförpackningar,3,2023-12-14T10:06:03,
Pappersförpackningar,5,2023-12-28T10:33:26,
Tidningar,13,2023-11-28T16:53:55,
Plastförpackningar,16,2023-12-18T11:27:52,
Ofärgade glasförpackningar,18,2023-10-03T15:00:23,
Färgade glasförpackningar,19,2023-10-03T15:00:23,
