material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T12:58:19,2024-06-07T00:00:00
Metallförpackningar,3,2023-09-25T14:39:38,
Pappersförpackningar,5,2023-12-29T08:39:59,
Tidningar,13,,
Plastförpackningar,16,2023-12-29T08:39:59,
Ofärgade glasförpackningar,18,2023-10-03T20:15:37,
Färgade glasförpackningar,19,2023-11-21T18:37:38,
