material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T10:10:30,
Metallförpackningar,3,2023-12-20T09:30:59,
Pappersförpackningar,5,2023-12-29T00:15:00,2023-12-31T00:00:00
Tidningar,13,2023-12-28T06:49:03,
Plastförpackningar,16,2023-12-26T17:38:29,
Ofärgade glasförpackningar,18,2023-08-29T08:11:25,
Färgade glasförpackningar,19,2023-08-29T08:11:25,
