material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-31T08:20:18,
Metallförpackningar,3,2023-12-26T11:27:03,
Pappersförpackningar,5,2023-12-31T17:06:09,
Tidningar,13,2023-12-26T09:07:01,
Plastförpackningar,16,2023-12-30T13:37:13,
Ofärgade glasförpackningar,18,2023-12-15T13:03:20,
Färgade glasförpackningar,19,2023-12-15T13:03:20,
