material,materialid,senaktivitet,nastaaktivitet
Städning,0,2021-05-17T09:58:02,
Metallförpackningar,3,2023-12-21T09:01:51,
Pappersförpackningar,5,2023-12-18T07:39:15,2023-12-22T00:00:00
Tidningar,13,2023-11-28T10:40:28,
Plastförpackningar,16,2023-12-20T09:29:20,2023-12-27T00:00:00
Ofärgade glasförpackningar,18,2023-12-19T14:16:12,
Färgade glasförpackningar,19,2023-12-19T14:16:12,
