material,materialid,senaktivitet,nastaaktivitet
Städning,0,,
Metallförpackningar,3,2023-12-27T15:24:41,
Pappersförpackningar,5,2023-12-12T12:42:21,
Tidningar,13,2023-10-03T14:17:20,
Plastförpackningar,16,2023-12-19T11:33:30,
Ofärgade glasförpackningar,18,2023-12-22T17:16:51,
Färgade glasförpackningar,19,2023-12-22T17:16:51,
