material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-27T10:14:19,
Metallförpackningar,3,2023-10-04T14:18:34,
Pappersförpackningar,5,2023-12-25T13:44:49,2023-12-28T00:00:00
Tidningar,13,2023-12-07T12:22:50,
Plastförpackningar,16,2023-12-26T11:58:06,2023-12-29T00:00:00
Ofärgade glasförpackningar,18,2023-10-23T12:31:58,
Färgade glasförpackningar,19,2023-10-23T12:31:58,
