material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-21T09:32:47,2023-12-28T00:00:00
Metallförpackningar,3,2023-10-19T07:05:28,
Pappersförpackningar,5,2023-12-27T12:10:57,2023-12-28T00:00:00
Tidningar,13,2023-12-27T11:22:40,
Plastförpackningar,16,2023-12-27T20:07:18,
Ofärgade glasförpackningar,18,2023-12-18T14:33:19,
Färgade glasförpackningar,19,2023-12-18T14:33:19,
