material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-20T18:51:07,2023-12-22T00:00:00
Metallförpackningar,3,2023-10-25T10:15:41,
Pappersförpackningar,5,2023-12-14T11:47:29,2023-12-28T00:00:00
Tidningar,13,2023-05-17T10:23:38,
Plastförpackningar,16,2023-12-21T09:08:15,
Ofärgade glasförpackningar,18,2023-12-11T14:49:15,
Färgade glasförpackningar,19,2023-12-11T14:49:15,
