material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-22T07:40:47,2023-12-25T00:00:00
Metallförpackningar,3,2023-12-06T13:48:00,2023-12-27T00:00:00
Pappersförpackningar,5,2023-12-23T12:06:18,2023-12-25T00:00:00
Tidningar,13,2023-11-04T13:43:28,
Plastförpackningar,16,2023-12-19T11:09:12,2023-12-26T00:00:00
Ofärgade glasförpackningar,18,2023-12-22T11:58:12,
Färgade glasförpackningar,19,2023-12-22T11:58:12,
