material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T20:14:54,
Metallförpackningar,3,2023-08-03T15:48:59,
Pappersförpackningar,5,2023-12-30T06:18:36,
Tidningar,13,2023-12-21T07:56:28,
Plastförpackningar,16,2023-12-19T08:35:28,
Ofärgade glasförpackningar,18,2023-11-28T13:37:13,
Färgade glasförpackningar,19,2023-11-28T13:37:13,
