material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-30T09:57:44,
Metallförpackningar,3,2023-12-26T17:43:49,
Pappersförpackningar,5,2023-12-31T08:04:53,
Tidningar,13,2023-12-26T07:29:22,
Plastförpackningar,16,2023-12-30T08:28:20,2024-06-01T00:00:00
Ofärgade glasförpackningar,18,2023-11-19T11:00:47,
Färgade glasförpackningar,19,2023-11-19T11:00:47,
