material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T11:32:33,
Metallförpackningar,3,2023-12-26T13:40:41,
Pappersförpackningar,5,2023-12-31T14:46:25,
Tidningar,13,2023-12-25T11:58:01,
Plastförpackningar,16,2023-12-28T10:47:28,
Ofärgade glasförpackningar,18,2023-12-26T11:48:18,
Färgade glasförpackningar,19,2023-12-26T11:48:18,
