material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-29T12:30:47,
Metallförpackningar,3,2023-12-22T10:47:32,
Pappersförpackningar,5,2023-12-31T10:12:01,2024-06-09T00:00:00
Tidningar,13,2023-12-26T16:44:33,
Plastförpackningar,16,2023-12-31T13:24:01,
Ofärgade glasförpackningar,18,2023-12-31T11:12:05,
Färgade glasförpackningar,19,2023-12-31T11:12:05,
