material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-25T10:14:57,2023-12-27T00:00:00
Metallförpackningar,3,2023-12-10T09:42:20,
Pappersförpackningar,5,2023-12-25T06:51:09,2023-12-27T00:00:00
Tidningar,13,,
Plastförpackningar,16,2023-12-25T09:23:16,
Ofärgade glasförpackningar,18,2023-12-15T08:01:05,
Färgade glasförpackningar,19,2023-12-15T08:01:05,
