material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-30T08:50:09,
Metallförpackningar,3,2023-12-25T20:13:29,
Pappersförpackningar,5,2023-12-30T17:31:05,2023-12-31T00:00:00
Tidningar,13,2023-12-29T09:36:40,
Plastförpackningar,16,2023-12-30T17:34:20,2023-12-31T00:00:00
Ofärgade glasförpackningar,18,2023-12-17T14:36:21,
Färgade glasförpackningar,19,2023-12-17T14:36:21,
