material,materialid,senaktivitet,nastaaktivitet
Städning,0,,
Metallförpackningar,3,2023-10-19T18:27:58,
Pappersförpackningar,5,2023-12-21T16:32:46,2023-12-28T00:00:00
Tidningar,13,2023-11-30T15:29:28,
Plastförpackningar,16,2023-12-21T16:32:46,2023-12-28T00:00:00
Ofärgade glasförpackningar,18,2023-12-21T19:51:20,
Färgade glasförpackningar,19,2023-12-21T19:51:20,
