material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-30T13:30:56,
Metallförpackningar,3,2023-12-21T06:22:26,
Pappersförpackningar,5,2023-12-31T12:29:02,
Tidningar,13,,
Plastförpackningar,16,2023-12-27T15:07:16,2024-06-17T00:00:00
Ofärgade glasförpackningar,18,2023-12-27T17:18:01,
Färgade glasförpackningar,19,2023-12-27T17:18:01,
