material,materialid,senaktivitet,nastaaktivitet
Städning,0,2023-12-22T11:20:40,2023-12-26T00:00:00
Metallförpackningar,3,2023-12-20T15:28:43,
Pappersförpackningar,5,2023-12-22T09:01:43,2023-12-23T00:00:00
Tidningar,13,2023-07-31T08:59:46,
Plastförpackningar,16,2023-12-21T09:43:40,2023-12-29T00:00:00
Ofärgade glasförpackningar,18,2023-12-13T10:01:09,
Färgade glasförpackningar,19,2023-12-13T10:01:09,
